time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),windspeed_100m (km/h),winddirection_10m (°),winddirection_100m (°),windgusts_10m (km/h),latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2022-01-01T06:00,9.4,81,0,0,0,0,0,0,3.7,3.4,29,32,10.1,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T07:00,8.5,85,0,0,0,0,0,0,4.3,4,360,355,10.1,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T08:00,7.7,87,0,0,0,0,0,0,4.7,4.2,337,329,10.1,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T09:00,7.2,87,0,0,0,0,0,0,4.7,4.3,328,312,10.1,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T10:00,6.8,87,0,0,0,0,0,0,5.5,6.2,337,324,9.4,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T11:00,6.6,86,0,0,0,0,0,0,5.3,6.6,332,319,9.4,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T12:00,6.5,85,0,0,0,0,0,0,5.8,7.9,330,317,9,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T13:00,6.7,83,0,0,0,0,0,0,5.8,5.2,330,12,8.6,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T14:00,7.6,80,0,0,0,0,0,0,6.6,4.9,338,17,7.9,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T15:00,12.4,64,0,0,0,0,0,0,4.2,4.7,329,32,12.6,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T16:00,16,47,0,0,0,0,0,0,0.8,4.5,333,76,14.8,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T17:00,18.3,41,0,0,0,0,0,0,3.3,7.6,103,93,18.4,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T18:00,20.1,35,0,0,0,0,0,0,7.6,10.1,95,94,21.2,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T19:00,21.3,29,0,0,0,0,0,0,10.2,12.8,100,100,24.5,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T20:00,22.3,24,0,0,0,0,0,0,11.4,14.2,108,106,25.2,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T21:00,22.8,20,0,0,0,0,0,0,13.1,15.7,111,110,23.8,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T22:00,22.9,17,0,0,0,0,0,0,13.4,17.6,121,118,21.6,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-01T23:00,22.3,15,0,0,0,0,0,0,15.3,17,105,107,16.9,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T00:00,20.7,18,0,0,0,0,0,0,6.7,10.3,106,102,7.9,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T01:00,19.1,21,0,0,0,0,0,0,8.3,12,88,99,6.8,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T02:00,17.2,39,0,0,0,0,0,0,9.4,14,86,102,8.3,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T03:00,17.4,23,0,0,0,0,0,0,7.9,12.6,87,110,7.2,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T04:00,16.4,25,0,0,0,0,0,0,6.1,11.3,90,121,4.7,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T05:00,15.5,27,0,0,0,0,0,0,3.6,8.9,90,130,2.5,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T06:00,14.4,30,0,0,0,0,0,0,1.9,5.7,338,145,2.9,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T07:00,13.8,33,0,0,0,0,0,0,3.8,2.7,311,203,6.1,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T08:00,12.6,37,0,0,0,0,0,0,6.9,5.1,317,274,10.1,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T09:00,11.3,41,0,0,0,0,0,0,7.5,6.4,325,286,10.1,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T10:00,10.2,45,0,0,0,0,0,0,6.6,6.2,338,291,9,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T11:00,9.6,47,0,0,0,0,0,0,4.8,2.9,347,277,8.6,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T12:00,9.5,47,0,0,0,0,0,0,5.9,2.7,346,293,9,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T13:00,9.6,46,0,0,0,0,0,0,5.9,2.4,346,297,9,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T14:00,10.4,45,0,0,0,0,0,0,3.3,1.9,354,338,7.6,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T15:00,14.5,37,0,0,0,0,0,0,4,3.7,5,29,11.9,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T16:00,17.1,31,0,0,0,0,0,0,3.9,4.6,68,72,14.8,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T17:00,19,30,0,0,0,0,0,0,9.8,11.6,84,83,26.3,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T18:00,20.4,29,0,0,0,0,0,0,15.6,19.3,64,63,36.4,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T19:00,21.4,27,0,0,0,0,0,0,17.7,21.5,52,52,36.7,19.4326,-99.1332,2238,0,GMT,GMT
2022-01-02T20:00,22.2,27,0,0,8,7,3,0,20.1,24.4,44,44,39.6,19.4326,-99.1332,2238,0,GMT,GMT
