time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),windspeed_100m (km/h),latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2022-01-01T06:00,-15.2,0.1,0,100,35,100,99,2.5,5.4,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T07:00,-13.3,0.1,0,100,27,99,99,2.2,4.9,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T08:00,-11.9,0.1,0,99,17,91,97,2.6,4.9,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T09:00,-12,0.2,0,100,21,98,97,2.1,4.7,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T10:00,-13,0.1,0,100,16,100,99,2.2,4.6,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T11:00,-14.3,0,0,99,11,99,98,2.6,4.7,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T12:00,-15.6,0,0,100,12,100,96,2.9,4.6,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T13:00,-16.5,0,0,100,20,97,94,3.3,3.9,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T14:00,-16.5,0,0,100,18,98,96,3.3,3.4,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T15:00,-17.1,0.1,0,92,5,99,93,3.6,2.7,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T16:00,-17.7,0.1,0,87,1,100,88,4.2,2.4,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T17:00,-18.2,0.1,0,89,1,99,94,4.2,2.4,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T18:00,-18.4,0,0,82,0,92,89,4.2,2.6,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T19:00,-18,0,0,87,1,97,93,4.8,3.1,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T20:00,-17.9,0,0,87,1,97,94,4.2,2.7,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T21:00,-17.8,0.1,0,89,2,99,93,4.7,2.7,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T22:00,-17.6,0,0,86,1,98,86,4.2,5.9,40.7128,-74.006,3825,0,GMT,GMT
2022-01-01T23:00,-17.5,0.1,0,90,5,94,96,3.8,5.4,40.7128,-74.006,3825,0,GMT,GMT
2022-01-02T00:00,-17.5,0.1,0,93,6,99,95,3.1,2.3,40.7128,-74.006,3825,0,GMT,GMT
2022-01-02T01:00,-17.6,0.1,0,87,1,96,94,3.1,2.9,40.7128,-74.006,3825,0,GMT,GMT
2022-01-02T02:00,-17.7,0.1,0,89,1,99,97,3.1,3.4,40.7128,-74.006,3825,0,GMT,GMT
2022-01-02T03:00,-17.6,0.1,0,88,2,98,90,3.1,3.9,40.7128,-74.006,3825,0,GMT,GMT
2022-01-02T04:00,-17.2,0.1,0,92,4,100,94,2.8,4.6,40.7128,-74.006,3825,0,GMT,GMT
2022-01-02T05:00,-15.5,0.1,0,92,3,100,96,2.4,4.7,40.7128,-74.006,3825,0,GMT,GMT
2022-01-02T06:00,-13.4,0.2,0,89,1,99,96,2.6,5,40.7128,-74.006,3825,0,GMT,GMT
2022-01-02T07:00,-11.8,0.1,0,90,3,98,95,2.3,5.1,40.7128,-74.006,3825,0,GMT,GMT
2022-01-02T08:00,-10.7,0,0,85,2,95,88,2.8,4.7,40.7128,-74.006,3825,0,GMT,GMT
2022-01-02T09:00,-10.7,0,0,78,2,91,72,2.8,4.3,40.7128,-74.006,3825,0,GMT,GMT
2022-01-02T10:00,-11.2,0,0,61,0,90,24,2.6,5.3,40.7128,-74.006,3825,0,GMT,GMT
2022-01-02T11:00,-12.6,0,0,61,5,88,13,3.5,5.2,40.7128,-74.006,3825,0,GMT,GMT
2022-01-02T12:00,-14.5,0,0,45,0,73,5,4.3,5.7,40.7128,-74.006,3825,0,GMT,GMT
