time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),windspeed_100m (km/h),winddirection_10m (°),winddirection_100m (°),windgusts_10m (km/h),latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2022-01-01T06:00,4.4,58,0,0,75,73,16,0,29.2,43.7,176,175,29.5,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T07:00,3.8,63,0,0,63,61,13,0,24.9,37.9,176,175,25.9,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T08:00,3,66,0,0,39,41,4,0,22.1,36.3,174,173,21.2,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T09:00,2.4,72,0,0,42,44,4,0,21.5,35.5,171,169,20.2,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T10:00,1.3,82,0,0,38,42,0,0,21.3,35.9,168,167,17.3,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T11:00,1.9,70,0,0,35,37,3,0,22.5,36.8,168,166,14.4,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T12:00,1.7,72,0,0,12,12,2,0,20.4,35.9,172,169,13.3,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T13:00,1.3,75,0,0,5,6,0,0,21.4,36.2,173,164,11.9,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T14:00,1,77,0,0,4,3,0,4,18.9,32.7,171,165,11.2,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T15:00,0.6,80,0,0,3,3,0,0,16.5,28.7,169,168,11.2,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T16:00,0.4,83,0,0,23,26,0,0,14,24.6,168,168,10.4,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T17:00,0.2,85,0,0,34,37,0,1,11.3,21.8,173,167,9.4,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T18:00,0.1,88,0,0,36,40,0,1,10.1,21.8,180,164,8.3,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T19:00,-0.8,92,0,0,39,43,0,0,9.7,21.4,184,160,7.9,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T20:00,-1.3,93,0,0,42,44,1,7,9.7,21.7,182,159,7.9,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T21:00,-1.7,93,0,0,41,42,4,1,10.5,22.2,184,160,9,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T22:00,-1.7,92,0,0,38,42,1,0,8.2,20,203,157,9.7,34.6937,135.5023,14,0,GMT,GMT
2022-01-01T23:00,-1.5,92,0,0,49,54,0,0,7.7,20.1,191,156,9.7,34.6937,135.5023,14,0,GMT,GMT
2022-01-02T00:00,0.4,86,0,0,37,41,0,0,2.5,1.1,45,360,9.4,34.6937,135.5023,14,0,GMT,GMT
2022-01-02T01:00,2,78,0,0,35,34,7,0,0.4,1.4,270,270,9,34.6937,135.5023,14,0,GMT,GMT
