time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),windspeed_100m (km/h),winddirection_10m (°),winddirection_100m (°),windgusts_10m (km/h),latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2022-01-01T06:00,10.5,55,0,0,84,32,92,0,20.3,27.1,110,109,23,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T07:00,10.9,57,0,0,70,16,92,0,20.3,27.1,103,104,19.1,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T08:00,10.2,63,0,0,58,2,94,0,19.4,26.4,101,101,13.3,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T09:00,9.4,69,0,0,62,4,98,0,16,23.9,98,97,11.9,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T10:00,8.7,74,0,0,58,1,95,0,10.9,19.5,96,94,13.3,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T11:00,8.3,78,0,0,56,0,93,0,10.8,19.1,88,86,14,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T12:00,7.7,81,0,0,49,0,81,0,10.4,19.5,92,87,13.7,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T13:00,6.9,84,0,0,27,0,45,0,9.4,2.6,92,74,12.6,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T14:00,5.8,87,0,0,8,0,13,0,9.4,6.2,92,83,11.9,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T15:00,4.7,88,0,0,4,0,6,0,9,7.6,95,90,12.2,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T16:00,3.9,89,0,0,1,0,1,0,8.3,9.4,95,90,13,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T17:00,3.2,89,0,0,0,0,0,0,8.7,13.7,97,90,14.4,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T18:00,2.7,89,0,0,0,0,0,0,8.9,18,104,93,15.5,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T19:00,2.5,89,0,0,0,0,0,0,8.8,21.6,102,93,18.4,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T20:00,2.2,89,0,0,0,0,0,0,8.3,23.1,95,88,18.4,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T21:00,1.9,89,0,0,0,0,0,0,8.3,23.7,85,80,17.6,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T22:00,1.7,89,0,0,0,0,0,0,7.6,22.3,85,81,17.6,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-01T23:00,1.4,89,0,0,0,0,0,0,6.6,23.5,81,79,17.6,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-02T00:00,2.4,87,0,0,0,0,0,0,10.7,18.8,135,122,19.8,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-02T01:00,5.3,76,0,0,0,0,0,0,10.1,15,125,120,20.9,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-02T02:00,7.5,68,0,0,0,0,0,0,10.6,13.9,114,111,22.7,31.2304,"121.4737	",4,0,GMT,GMT
2022-01-02T03:00,9,61,0,0,0,0,0,0,11.7,14.9,101,98,24.8,31.2304,"121.4737	",4,0,GMT,GMT
