time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),windspeed_100m (km/h),winddirection_10m (°),winddirection_100m (°),windgusts_10m (km/h),latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2022-01-01T06:00,19.6,94,0,0,41,19,13,52,4.4,10.1,351,17,24.1,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T07:00,19.2,95,0,0,81,55,10,86,4,9.4,5,23,16.9,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T08:00,19.3,95,0,0,83,60,4,88,4.6,8.4,18,31,18.4,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T09:00,19.8,94,0,0,100,95,4,86,4.8,7.4,13,29,21.6,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T10:00,20.7,90,0,0,100,91,8,71,6.3,7.8,31,34,23.8,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T11:00,21.6,86,0,0,94,79,8,60,3.9,4.8,34,42,33.8,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T12:00,22.7,83,0.1,0.1,54,27,12,75,2.9,3.9,60,68,33.5,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T13:00,24.2,76,0,0,100,63,59,76,7.8,26.9,112,98,33.5,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T14:00,25.3,71,0.2,0.2,100,62,57,46,9.7,26.4,129,107,39.2,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T15:00,25.8,69,0.3,0.3,59,31,43,17,8.7,24.5,138,110,39.2,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T16:00,25.6,72,0.4,0.4,54,11,51,44,6.9,24,141,107,38.5,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T17:00,25.6,71,0.2,0.2,100,39,97,96,4,23.9,170,102,31.7,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T18:00,23.6,80,5.8,5.8,67,14,48,85,7.2,18,270,92,22.3,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T19:00,24,80,0.1,0.1,45,8,31,65,13.1,14,291,64,28.1,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T20:00,23.7,80,0.4,0.4,47,17,20,65,13.8,16.9,309,40,23.8,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T21:00,23.2,81,0,0,69,11,65,67,13,18.4,316,39,15.5,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T22:00,22.1,87,0.7,0.7,82,24,70,60,15.7,28.3,323,43,9,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-01T23:00,21.5,90,0.6,0.6,58,1,58,73,13.8,29.8,332,45,15.1,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-02T00:00,21.2,91,0.1,0.1,64,0,56,100,7.9,16.5,66,70,16.2,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-02T01:00,20.9,93,0,0,48,0,32,95,8.9,19.2,76,77,14,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-02T02:00,20.6,93,0,0,34,0,9,96,8.7,19.6,83,84,13,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-02T03:00,20.2,95,0,0,36,0,10,100,8.6,19.4,92,91,10.4,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-02T04:00,19.8,95,0,0,31,0,4,94,8.8,18.9,99,98,9.7,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-02T05:00,19.4,96,0,0,27,0,6,79,7.4,17.7,104,102,10.1,-23.5505,-46.6333,739,0,GMT,GMT
2022-01-02T06:00,19.2,96,0,0,39,0,25,81,5.5,14.8,113,108,10.4,-23.5505,-46.6333,739,0,GMT,GMT
