time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),windspeed_100m (km/h),winddirection_10m (°),winddirection_100m (°),windgusts_10m (km/h),latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2022-01-01T06:00,5.1,35,0,0,0,0,0,0,16.8,22,211,212,43.6,35.6895,139.6917,43,0,GMT,GMT
2022-01-01T07:00,4.5,44,0,0,0,0,0,0,16.7,25.1,187,187,35.3,35.6895,139.6917,43,0,GMT,GMT
2022-01-01T08:00,2.7,51,0,0,0,0,0,0,15.9,25.7,177,175,34.9,35.6895,139.6917,43,0,GMT,GMT
2022-01-01T09:00,1.7,53,0,0,0,0,0,0,15.2,24.9,185,177,31.7,35.6895,139.6917,43,0,GMT,GMT
2022-01-01T10:00,1,54,0,0,0,0,0,0,14.4,25.9,184,170,29.5,35.6895,139.6917,43,0,GMT,GMT
2022-01-01T11:00,0.5,55,0,0,0,0,0,0,10,17.2,154,147,26.3,35.6895,139.6917,43,0,GMT,GMT
2022-01-01T12:00,0,58,0,0,0,0,0,0,13.4,22.6,114,115,22,35.6895,139.6917,43,0,GMT,GMT
2022-01-01T13:00,-0.5,62,0,0,0,0,0,0,14.1,25.5,105,109,18.4,35.6895,139.6917,43,0,GMT,GMT
2022-01-01T14:00,-1.4,69,0,0,0,0,0,0,16.5,26.8,122,126,14.8,35.6895,139.6917,43,0,GMT,GMT
2022-01-01T15:00,-2.2,74,0,0,0,0,0,0,22.2,29.3,126,136,12.6,35.6895,139.6917,43,0,GMT,GMT
2022-01-01T16:00,-2.4,75,0,0,0,0,0,0,25.6,30.9,125,139,10.8,35.6895,139.6917,43,0,GMT,GMT
2022-01-01T17:00,-2.3,75,0,0,0,0,0,0,25.6,32.4,125,137,9.4,35.6895,139.6917,43,0,GMT,GMT
2022-01-01T18:00,-3,79,0,0,3,3,1,0,24,34.6,130,135,11.2,35.6895,139.6917,43,0,GMT,GMT
2022-01-01T19:00,-2.8,75,0,0,23,18,12,0,19.1,32.6,134,131,15.8,35.6895,139.6917,43,0,GMT,GMT
2022-01-01T20:00,-2.7,76,0,0,35,29,14,0,14.5,27.9,136,129,13.3,35.6895,139.6917,43,0,GMT,GMT
2022-01-01T21:00,-2.8,78,0,0,70,53,37,0,12.8,25.2,148,132,10.8,35.6895,139.6917,43,0,GMT,GMT
