time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),windspeed_100m (km/h),winddirection_10m (°),winddirection_100m (°),windgusts_10m (km/h),latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2022-01-01T06:00,6.6,25.0,0.0,0.0,0,0,0,0,7.1,9.5,210.0,205.0,34.2,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T07:00,6.2,21.0,0.0,0.0,0,0,0,0,7.0,9.4,235.0,227.0,38.2,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T08:00,4.5,23.0,0.0,0.0,0,0,0,0,6.9,13.3,276.0,267.0,35.3,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T09:00,2.0,25.0,0.0,0.0,0,0,0,0,9.3,21.3,283.0,274.0,30.2,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T10:00,0.1,26.0,0.0,0.0,0,0,0,0,10.1,22.7,274.0,267.0,29.2,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T11:00,-1.2,27.0,0.0,0.0,0,0,0,0,8.7,20.0,265.0,256.0,28.8,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T12:00,-2.2,28.0,0.0,0.0,0,0,0,0,8.7,18.4,265.0,253.0,25.9,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T13:00,-3.3,30.0,0.0,0.0,0,0,0,0,8.3,31.6,275.0,98.0,20.9,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T14:00,-4.6,32.0,0.0,0.0,0,0,0,0,7.3,28.3,281.0,97.0,16.2,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T15:00,-5.6,35.0,0.0,0.0,0,0,0,0,6.7,24.9,286.0,95.0,14.8,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T16:00,-6.1,35.0,0.0,0.0,0,0,0,0,6.3,22.0,301.0,95.0,15.1,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T17:00,-6.1,35.0,0.0,0.0,0,0,0,0,5.7,19.5,305.0,92.0,12.6,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T18:00,-6.0,35.0,0.0,0.0,0,0,0,0,5.6,18.0,310.0,91.0,11.2,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T19:00,-6.1,38.0,0.0,0.0,0,0,0,0,4.8,16.2,312.0,90.0,11.9,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T20:00,-5.4,37.0,0.0,0.0,0,0,0,0,4.5,14.2,331.0,83.0,10.8,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T21:00,-4.9,36.0,0.0,0.0,0,0,0,0,4.7,12.3,337.0,75.0,8.6,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T22:00,-5.0,36.0,0.0,0.0,0,0,0,0,2.6,10.1,34.0,73.0,6.1,39.9042,116.4074,47,0,GMT,GMT
2022-01-01T23:00,-5.1,37.0,0.0,0.0,0,0,0,0,4.1,9.2,45.0,64.0,5.0,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T00:00,-6.4,42.0,0.0,0.0,0,0,0,0,4.0,3.1,190.0,201.0,8.3,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T01:00,-4.7,40.0,0.0,0.0,0,0,0,0,2.6,4.8,214.0,222.0,11.2,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T02:00,-2.1,29.0,0.0,0.0,0,0,0,0,3.9,5.0,248.0,249.0,16.2,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T03:00,-0.8,26.0,0.0,0.0,0,0,0,0,6.5,8.3,267.0,265.0,21.2,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T04:00,0.3,25.0,0.0,0.0,0,0,0,0,9.7,12.3,268.0,265.0,25.2,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T05:00,0.9,24.0,0.0,0.0,0,0,0,0,11.2,14.6,264.0,261.0,27.7,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T06:00,1.3,24.0,0.0,0.0,3,0,0,11,12.0,16.0,263.0,261.0,27.4,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T07:00,1.1,26.0,0.0,0.0,17,0,8,40,12.0,16.5,263.0,260.0,25.6,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T08:00,0.5,28.0,0.0,0.0,35,0,16,85,8.7,16.2,275.0,270.0,17.3,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T09:00,-1.3,33.0,0.0,0.0,37,0,19,86,7.5,18.8,287.0,275.0,14.0,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T10:00,-2.8,37.0,0.0,0.0,29,0,9,77,7.8,17.7,283.0,265.0,14.0,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T11:00,-4.0,40.0,0.0,0.0,27,0,1,87,7.9,15.6,286.0,262.0,13.0,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T12:00,-4.5,42.0,0.0,0.0,31,0,5,92,6.9,12.1,298.0,260.0,10.8,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T13:00,-4.5,43.0,0.0,0.0,46,0,32,90,5.1,9.0,321.0,268.0,9.7,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T14:00,-4.3,43.0,0.0,0.0,61,0,57,89,5.1,8.4,321.0,277.0,8.6,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T15:00,-3.7,43.0,0.0,0.0,74,0,77,94,5.2,6.5,335.0,289.0,8.3,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T16:00,-3.4,43.0,0.0,0.0,70,0,74,85,4.7,4.6,4.0,309.0,7.9,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T17:00,-3.4,44.0,0.0,0.0,24,0,30,19,4.6,3.8,18.0,343.0,7.2,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T18:00,-3.7,46.0,0.0,0.0,16,0,21,11,4.4,3.6,35.0,360.0,6.8,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T19:00,-5.5,52.0,0.0,0.0,0,0,0,0,4.5,4.2,61.0,31.0,6.8,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T20:00,-6.5,56.0,0.0,0.0,0,0,0,0,4.6,4.6,72.0,45.0,7.6,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T21:00,-7.1,59.0,0.0,0.0,0,0,0,0,4.4,4.3,81.0,48.0,7.6,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T22:00,-7.6,61.0,0.0,0.0,0,0,0,0,6.4,5.8,117.0,86.0,7.6,39.9042,116.4074,47,0,GMT,GMT
2022-01-02T23:00,-8.1,63.0,0.0,0.0,0,0,0,0,6.5,5.9,109.0,79.0,9.0,39.9042,116.4074,47,0,GMT,GMT
2022-01-03T00:00,-8.3,63.0,0.0,0.0,0,0,0,0,6.3,6.6,103.0,81.0,10.1,39.9042,116.4074,47,0,GMT,GMT
2022-01-03T01:00,-5.6,54.0,0.0,0.0,0,0,0,0,5.7,8.6,108.0,88.0,13.3,39.9042,116.4074,47,0,GMT,GMT
2022-01-03T02:00,-2.1,42.0,0.0,0.0,0,0,0,0,3.8,5.9,107.0,104.0,13.7,39.9042,116.4074,47,0,GMT,GMT
2022-01-03T03:00,0.3,34.0,0.0,0.0,0,0,0,0,3.6,5.1,96.0,98.0,14.4,39.9042,116.4074,47,0,GMT,GMT
2022-01-03T04:00,2.1,29.0,0.0,0.0,0,0,0,0,4.7,6.2,94.0,100.0,15.5,39.9042,116.4074,47,0,GMT,GMT
2022-01-03T05:00,3.5,26.0,0.0,0.0,0,0,0,0,6.6,8.5,99.0,102.0,16.6,39.9042,116.4074,47,0,GMT,GMT
2022-01-03T06:00,4.3,24.0,0.0,0.0,0,0,0,0,8.4,11.0,97.0,101.0,17.3,39.9042,116.4074,47,0,GMT,GMT
2022-01-03T07:00,4.7,22.0,0.0,0.0,0,0,0,0,7.3,10.4,81.0,88.0,16.6,39.9042,116.4074,47,0,GMT,GMT
2022-01-03T08:00,3.7,27.0,0.0,0.0,0,0,0,0,6.3,7.7,13.0,41.0,8.6,39.9042,116.4074,47,0,GMT,GMT
2022-01-03T09:00,1.2,34.0,0.0,0.0,0,0,0,0,9.0,9.0,331.0,355.0,12.2,39.9042,116.4074,47,0,GMT,GMT
2022-01-03T10:00,-1.1,40.0,0.0,0.0,0,0,0,0,7.1,9.7,319.0,333.0,12.6,39.9042,116.4074,47,0,GMT,GMT
2022-01-03T11:00,-0.7,38.0,0.0,0.0,0,0,0,0,1.1,5.2,18.0,335.0,9.4,39.9042,116.4074,47,0,GMT,GMT
